term,mean_tfidf_high,mean_tfidf_moderate,mean_tfidf_limited,mean_tfidf_low,term_type
arise,0.016292,0.004867,0.0,0.0,unigram
service,0.016291,0.027852,0.033071,0.041909,unigram
ftse,0.016286,0.005658,0.0,0.0,unigram
stability,0.016264,0.0,0.0,0.0,unigram
embedding,0.016233,0.004195,0.005602,0.0,unigram
organisation,0.016206,0.018481,0.0,0.0,unigram
internally,0.016198,0.0,0.0,0.0,unigram
maintaining,0.016173,0.02236,0.003823,0.0,unigram
benefits,0.016163,0.019382,0.027151,0.0,unigram
app,0.016149,0.004429,0.004662,0.0,unigram
provider,0.016144,0.009579,0.0,0.0,unigram
learning models,0.016134,0.0,0.0,0.0,bigram
summarise,0.016134,0.0,0.0,0.0,unigram
protection,0.016125,0.022949,0.017149,0.0,unigram
group wide,0.016117,0.0,0.005501,0.0,bigram
financial services,0.016102,0.010454,0.010007,0.043428,bigram
broader,0.016074,0.010454,0.006473,0.043428,unigram
particular focus,0.016065,0.0,0.0,0.0,bigram
closely,0.016064,0.007791,0.006886,0.0,unigram
ai enabled,0.016021,0.025807,0.009628,0.0,bigram
operate,0.016016,0.010982,0.022404,0.0,unigram
ai systems,0.015997,0.014088,0.0,0.0,bigram
relation,0.015973,0.011284,0.008754,0.0,unigram
deposit,0.015953,0.0,0.0,0.0,unigram
results,0.015948,0.011271,0.008928,0.0,unigram
zero,0.015945,0.004429,0.0,0.0,unigram
new ai,0.015931,0.004891,0.007354,0.0,bigram
april,0.015922,0.0,0.0,0.0,unigram
customer journeys,0.015919,0.005658,0.0,0.0,bigram
ai strategy,0.015914,0.010514,0.00543,0.0,bigram
place,0.015914,0.021166,0.00562,0.0,unigram
instruments,0.01589,0.0,0.0,0.0,unigram
threats,0.01588,0.019172,0.010016,0.0,unigram
geopolitical,0.015862,0.012357,0.004067,0.0,unigram
customer interactions,0.01586,0.004867,0.0,0.0,bigram
effect,0.015847,0.00525,0.0,0.0,unigram
current,0.015837,0.010277,0.008879,0.0,unigram
advice,0.015768,0.004876,0.01257,0.0,unigram
group risk,0.015761,0.012451,0.0,0.0,bigram
cross,0.015749,0.004126,0.005602,0.0,unigram
regarding,0.015741,0.013893,0.0,0.0,unigram
secure,0.015734,0.004503,0.009784,0.0,unigram
incidents,0.015724,0.0,0.0,0.0,unigram
expanded,0.015716,0.006651,0.004067,0.042597,unigram
mobility,0.015709,0.0,0.0,0.0,unigram
financial markets,0.015705,0.0,0.0,0.0,bigram
lifecycle,0.015705,0.0,0.0,0.0,unigram
data management,0.015694,0.004503,0.004662,0.0,bigram
identified,0.015693,0.010966,0.008255,0.0,unigram
remained,0.015666,0.0,0.0,0.0,unigram
average,0.015651,0.007937,0.004931,0.0,unigram
technologies including,0.015646,0.015576,0.0,0.0,bigram
ai board,0.015628,0.0,0.0,0.0,bigram
best,0.015621,0.01742,0.008349,0.0,unigram
gains,0.015601,0.009845,0.013529,0.0,unigram
disruption,0.0156,0.003863,0.006886,0.046197,unigram
mean,0.015598,0.0,0.0,0.0,unigram
period,0.01557,0.0,0.0,0.0,unigram
targets,0.015557,0.003826,0.019243,0.0,unigram
planning,0.015555,0.006478,0.018331,0.0,unigram
suite,0.015537,0.011978,0.0,0.0,unigram
ai group,0.015532,0.0,0.0,0.0,bigram
assumptions,0.015519,0.004126,0.016359,0.0,unigram
firms,0.01551,0.0,0.0,0.0,unigram
shareholders,0.015509,0.021593,0.0,0.023651,unigram
gap,0.01549,0.005234,0.0,0.0,unigram
consumer,0.015473,0.016277,0.017313,0.0,unigram
aim,0.015467,0.007928,0.0,0.049336,unigram
code,0.015465,0.01334,0.008255,0.0,unigram
emerging technologies,0.015448,0.017861,0.006014,0.0,bigram
risk committee,0.015444,0.011228,0.0,0.0,bigram
announced,0.015442,0.0,0.00504,0.0,unigram
transformative,0.015432,0.005658,0.0,0.0,unigram
combining,0.015418,0.004787,0.0,0.0,unigram
environments,0.015418,0.008241,0.0,0.0,unigram
acquisition,0.0154,0.023531,0.0,0.0,unigram
greater,0.015398,0.015192,0.010771,0.054707,unigram
channels,0.015392,0.021213,0.0,0.022302,unigram
shared,0.015381,0.003693,0.00519,0.023651,unigram
ai deployment,0.015373,0.0,0.0,0.0,bigram
billion,0.015369,0.015606,0.01383,0.0,unigram
transparent,0.015343,0.009679,0.0,0.0,unigram
testing,0.015331,0.010063,0.010087,0.0,unigram
power,0.015285,0.008241,0.0,0.0,unigram
newly,0.015242,0.0,0.0,0.0,unigram
application,0.015215,0.018568,0.003605,0.0,unigram
priorities,0.015199,0.009841,0.010524,0.0,unigram
ai ethics,0.015176,0.0,0.0,0.0,bigram
personalised,0.015146,0.022852,0.0,0.0,unigram
funding,0.015142,0.016387,0.00682,0.0,unigram
ai driving,0.015117,0.0,0.0,0.0,bigram
director,0.015107,0.017959,0.01853,0.0,unigram
respect,0.015103,0.016183,0.005246,0.0,unigram
autonomous,0.015101,0.005658,0.0,0.0,unigram
effectively,0.01509,0.020645,0.011676,0.0,unigram
trading,0.015066,0.005234,0.011547,0.0,unigram
extending,0.01503,0.0,0.0,0.0,unigram
real estate,0.015022,0.005226,0.0,0.0,bigram
home,0.014997,0.0,0.0,0.0,unigram
speed,0.014991,0.014688,0.004894,0.03776,unigram
retail,0.014973,0.013416,0.011578,0.0,unigram
fully,0.014955,0.020732,0.0,0.0,unigram
leverage,0.014949,0.021062,0.012367,0.030466,unigram
group ai,0.01494,0.003863,0.009497,0.0,bigram
empowering,0.014929,0.007791,0.005246,0.0,unigram
rising,0.014906,0.009017,0.0,0.0,unigram
advances,0.014903,0.016331,0.004931,0.0,unigram
ambition,0.014903,0.007985,0.009783,0.0,unigram
intelligence ai,0.014898,0.019248,0.025068,0.0,bigram
integrate,0.01486,0.012229,0.0,0.0,unigram
competitors,0.014854,0.008281,0.004343,0.0,unigram
changing,0.014844,0.014271,0.005949,0.0,unigram
ai adoption,0.014829,0.012359,0.0156,0.0,bigram
major,0.014811,0.013212,0.0,0.0,unigram
facing,0.01481,0.006252,0.016997,0.0,unigram
address,0.01481,0.011231,0.004067,0.0,unigram
organisations,0.014795,0.005658,0.0,0.0,unigram
implemented,0.014772,0.0,0.0,0.0,unigram
june,0.014767,0.008494,0.006339,0.025159,unigram
data driven,0.014765,0.012123,0.0,0.0,bigram
chair,0.014765,0.015741,0.008255,0.0,unigram
commitment,0.01476,0.010469,0.0,0.025159,unigram
uses,0.014759,0.005658,0.0,0.0,unigram
enhancements,0.014752,0.00901,0.015308,0.0,unigram
authority,0.014747,0.004126,0.01257,0.0,unigram
automated,0.014747,0.017619,0.005896,0.0,unigram
partners,0.014738,0.003863,0.004067,0.025159,unigram
addition,0.014727,0.009319,0.015477,0.021082,unigram
details,0.014702,0.010929,0.00543,0.0,unigram
anti,0.014695,0.005675,0.0,0.0,unigram
source,0.014695,0.005658,0.0,0.0,unigram
computing,0.014678,0.015838,0.00543,0.0,unigram
workflows,0.014674,0.0,0.009504,0.0,unigram
value chain,0.014662,0.0,0.0,0.0,bigram
dive,0.014647,0.004867,0.00504,0.0,unigram
maintain,0.014646,0.016415,0.008928,0.0,unigram
volatility,0.014641,0.012476,0.006353,0.0,unigram
users,0.014641,0.008862,0.006329,0.0,unigram
includes,0.014626,0.022694,0.005312,0.0,unigram
ready,0.014618,0.016347,0.0,0.0,unigram
colleagues completed,0.014557,0.0,0.0,0.0,bigram
holistic,0.014555,0.0,0.0,0.0,unigram
uncertainty,0.014546,0.005234,0.00682,0.0,unigram
emerging risks,0.014541,0.006651,0.005949,0.046197,bigram
rationale,0.014525,0.0,0.0,0.057246,unigram
portfolio,0.014517,0.018849,0.008349,0.0,unigram
arrangements,0.014479,0.007499,0.0,0.0,unigram
reflect,0.014474,0.004566,0.010767,0.0,unigram
conditions,0.014474,0.004566,0.006339,0.025159,unigram
define,0.014457,0.0,0.0,0.0,unigram
reputational,0.014454,0.008494,0.00543,0.0,unigram
focus areas,0.014452,0.0,0.0,0.0,bigram
traditional,0.014452,0.017131,0.0,0.0,unigram
intended,0.014439,0.0,0.0,0.0,unigram
appropriate,0.014425,0.021248,0.027134,0.0,unigram
group ability,0.014424,0.0,0.0,0.0,bigram
involved,0.014404,0.00525,0.0,0.0,unigram
sourcing,0.014404,0.0,0.008533,0.0,unigram
built,0.014382,0.018919,0.009938,0.0,unigram
face,0.014336,0.009753,0.0,0.0,unigram
regular updates,0.014334,0.004503,0.0,0.0,bigram
financial data,0.014318,0.0,0.0,0.0,bigram
interoperability,0.014282,0.0,0.0,0.0,unigram
tech,0.014265,0.013797,0.0,0.0,unigram
sectors,0.01426,0.019462,0.0,0.0,unigram
improving,0.014238,0.009272,0.019679,0.0,unigram
embedded,0.014223,0.013232,0.01897,0.0,unigram
factors,0.01421,0.008666,0.019537,0.0,unigram
jurisdictions,0.014207,0.004787,0.00504,0.0,unigram
established,0.014203,0.012107,0.005246,0.0,unigram
products services,0.014181,0.0,0.0,0.0,bigram
employee,0.014178,0.011331,0.025076,0.0,unigram
defined,0.014166,0.008494,0.0,0.046197,unigram
london,0.014157,0.0,0.008048,0.0,unigram
free,0.014155,0.007998,0.009783,0.0,unigram
updated,0.014142,0.005675,0.0,0.0,unigram
session,0.014142,0.004876,0.005799,0.0,unigram
seek,0.014132,0.0,0.007354,0.026868,unigram
received regular,0.014111,0.0,0.0,0.0,bigram
calls,0.014089,0.004867,0.006842,0.0,unigram
estimates,0.014079,0.010743,0.014417,0.048529,unigram
quality data,0.014078,0.0,0.0,0.0,bigram
understand,0.014076,0.007998,0.010036,0.023651,unigram
lower,0.014072,0.004126,0.010697,0.0,unigram
remain,0.014066,0.013602,0.021216,0.017994,unigram
including generative,0.014063,0.009663,0.0,0.0,bigram
strengthened,0.014059,0.01294,0.0,0.0,unigram
law,0.014044,0.0,0.0,0.0,unigram
digitalisation,0.013976,0.008443,0.005246,0.0,unigram
account,0.013922,0.007624,0.00682,0.0,unigram
held,0.013919,0.011594,0.009194,0.0,unigram
harm,0.013918,0.0,0.0,0.0,unigram
effectiveness,0.013915,0.016416,0.01821,0.0,unigram
eu ai,0.013901,0.0,0.0,0.0,bigram
mitigate,0.01386,0.0,0.005799,0.026868,unigram
share,0.013836,0.018911,0.014337,0.042939,unigram
breaches,0.01383,0.004867,0.0,0.0,unigram
manner,0.01383,0.0,0.006729,0.0,unigram
use data,0.013815,0.021445,0.0,0.0,bigram
effects,0.013813,0.0,0.0,0.0,unigram
offer,0.013806,0.015966,0.01738,0.0,unigram
committee oversight,0.013786,0.0,0.0,0.0,bigram
setting,0.013783,0.009663,0.0,0.0,unigram
consider,0.013768,0.00406,0.013069,0.0,unigram
short,0.013761,0.008241,0.007856,0.0,unigram
procurement,0.013756,0.0,0.0,0.0,unigram
individual,0.013732,0.004429,0.00682,0.0,unigram
proprietary,0.013732,0.00945,0.006329,0.0,unigram
entities,0.013731,0.0,0.0,0.0,unigram
january,0.013725,0.0,0.006014,0.0,unigram
usage,0.013703,0.009086,0.005896,0.0,unigram
forward,0.013699,0.004429,0.00682,0.0,unigram
relationship,0.013677,0.0,0.0065,0.0,unigram
free bias,0.013663,0.0,0.0,0.0,bigram
levels,0.013642,0.013607,0.012354,0.0,unigram
sessions,0.013632,0.011216,0.010016,0.0,unigram
tool,0.013625,0.032288,0.0,0.0,unigram
net,0.013603,0.014147,0.0,0.023651,unigram
ai responsibly,0.013601,0.0,0.0,0.0,bigram
bringing,0.013597,0.004503,0.006329,0.0,unigram
quantum,0.013561,0.017811,0.00543,0.0,unigram
natural,0.013554,0.0,0.0,0.0,unigram
ai uk,0.01354,0.0,0.0,0.0,bigram
clarity,0.013538,0.0,0.0,0.0,unigram
committee committee,0.013534,0.0,0.0,0.0,bigram
placed,0.013532,0.008105,0.0,0.0,unigram
currently,0.01352,0.009663,0.0,0.0,unigram
private,0.013484,0.015619,0.009416,0.0,unigram
robust,0.013415,0.00932,0.014818,0.0,unigram
risk appetite,0.013396,0.01175,0.004662,0.0,bigram
technology including,0.01339,0.00525,0.004662,0.0,bigram
management framework,0.013383,0.008862,0.004662,0.0,bigram
expansion,0.013366,0.022082,0.005602,0.0,unigram
payments,0.013365,0.025567,0.008349,0.023651,unigram
goals,0.013362,0.0,0.0,0.0,unigram
paper,0.013362,0.0,0.0,0.0,unigram
new emerging,0.013362,0.0,0.0,0.0,bigram
sustainability report,0.013362,0.0,0.0,0.0,bigram
rise,0.013353,0.008443,0.005949,0.046197,unigram
databricks,0.013343,0.0,0.0,0.0,unigram
single,0.013338,0.017208,0.014409,0.0,unigram
volume,0.013313,0.0,0.0,0.0,unigram
additional information,0.013308,0.0,0.0,0.0,bigram
statements additional,0.013308,0.0,0.0,0.0,bigram
forefront,0.0133,0.016135,0.0,0.0,unigram
based solutions,0.013288,0.0,0.0,0.0,bigram
nd,0.013288,0.0,0.0,0.0,unigram
rules,0.013261,0.008511,0.007894,0.0,unigram
good,0.013255,0.01096,0.019499,0.0,unigram
continuous,0.013253,0.023039,0.0,0.0,unigram
operational efficiency,0.013246,0.0,0.004662,0.0,bigram
proposition,0.013222,0.003826,0.014232,0.074404,unigram
data protection,0.013216,0.00889,0.012204,0.0,bigram
fostering,0.013213,0.0,0.0065,0.0,unigram
executives,0.013213,0.0,0.007372,0.0,unigram
tensions,0.013207,0.004876,0.004343,0.0,unigram
adapt,0.013207,0.004195,0.0,0.049336,unigram
deregulation,0.013196,0.0,0.0,0.0,unigram
salient,0.013196,0.0,0.0,0.0,unigram
holdings,0.013171,0.005889,0.0,0.0,unigram
guidance,0.01314,0.009086,0.0,0.0,unigram
focusing,0.013136,0.0,0.012667,0.0,unigram
safeguarding,0.013102,0.0,0.0,0.0,unigram
management risk,0.013102,0.0,0.0,0.0,bigram
ratio,0.013075,0.0,0.0,0.0,unigram
advantages,0.013075,0.0,0.0,0.0,unigram
normal,0.013075,0.0,0.0,0.0,unigram
outside normal,0.013075,0.0,0.0,0.0,bigram
mobile,0.013071,0.005314,0.0,0.0,unigram
perspectives,0.013071,0.0,0.007346,0.0,unigram
diverse,0.01307,0.007791,0.011195,0.0,unigram
predictive,0.013065,0.010539,0.0,0.0,unigram
pension,0.013051,0.0,0.012895,0.0,unigram
start,0.013028,0.004429,0.006014,0.0,unigram
class,0.01302,0.010445,0.0,0.0,unigram
property,0.013015,0.006176,0.0,0.0,unigram
innovative,0.013003,0.017502,0.00815,0.022302,unigram
regime,0.013001,0.006176,0.0,0.0,unigram
corporate governance,0.012997,0.008932,0.006014,0.0,bigram
greenwashing,0.012978,0.0,0.0,0.0,unigram
intellectual,0.012978,0.0,0.0,0.0,unigram
data privacy,0.012978,0.0,0.0,0.0,bigram
procedures,0.012974,0.00901,0.022418,0.036665,unigram
opportunities presented,0.012943,0.0,0.00682,0.0,bigram
prevention,0.012943,0.004867,0.0,0.0,unigram
propositions,0.012933,0.0,0.026492,0.0,unigram
foundations,0.012929,0.020663,0.0,0.0,unigram
pilot,0.012929,0.0,0.006842,0.0,unigram
challenged,0.012928,0.0,0.0,0.0,unigram
ai capabilities,0.012917,0.017436,0.014712,0.0,bigram
quickly,0.012905,0.004787,0.0,0.0,unigram
family,0.0129,0.0,0.0,0.0,unigram
backed,0.0129,0.0,0.0,0.0,unigram
arising,0.012853,0.003863,0.008882,0.046197,unigram
deepen,0.012848,0.008997,0.0,0.0,unigram
base,0.012846,0.009017,0.0,0.0,unigram
potentially,0.012845,0.0,0.0,0.0,unigram
entity,0.012824,0.004867,0.0,0.0,unigram
ai genai,0.012818,0.01439,0.011463,0.0,bigram
reviews,0.012813,0.011121,0.004067,0.0,unigram
governance framework,0.012805,0.0,0.015712,0.0,bigram
ai based,0.012799,0.0,0.0,0.0,bigram
financial inclusion,0.01279,0.006195,0.0,0.0,bigram
scalable,0.012768,0.023818,0.0,0.0,unigram
threat landscape,0.012754,0.0,0.0,0.0,bigram
financed,0.012754,0.0,0.0,0.0,unigram
condition,0.01274,0.0,0.0,0.0,unigram
financial condition,0.01274,0.0,0.0,0.0,bigram
deployment ai,0.01274,0.0,0.0,0.0,bigram
subsidiaries,0.012733,0.014738,0.0,0.0,unigram
peers,0.012726,0.0,0.00504,0.0,unigram
lead,0.012724,0.011107,0.004067,0.046197,unigram
live,0.01271,0.009663,0.006329,0.0,unigram
companies,0.012697,0.012451,0.005602,0.0,unigram
evolved,0.012689,0.0,0.0,0.0,unigram
understood,0.012689,0.0,0.0,0.0,unigram
general,0.012688,0.023594,0.009225,0.0,unigram
available,0.012687,0.015619,0.005105,0.0,unigram
risk areas,0.012678,0.0,0.0,0.0,bigram
conduct risk,0.01267,0.00525,0.0,0.0,bigram
adjustments,0.012657,0.0,0.0,0.0,unigram
al,0.012657,0.00525,0.0,0.0,unigram
input,0.012657,0.0,0.0,0.0,unigram
adjustments assessing,0.012657,0.0,0.0,0.0,bigram
potential impact,0.012655,0.013393,0.0,0.0,bigram
shape,0.012643,0.016238,0.0,0.0,unigram
monitored,0.012641,0.010454,0.020043,0.0,unigram
large language,0.012637,0.0,0.014358,0.0,bigram
data digital,0.012632,0.0,0.010888,0.0,bigram
reliable,0.012623,0.004867,0.0,0.0,unigram
pace,0.012612,0.017721,0.005105,0.0,unigram
net zero,0.012601,0.004787,0.0,0.0,bigram
disruptive,0.012601,0.0,0.00504,0.0,unigram
success,0.012591,0.014192,0.014764,0.0,unigram
sales,0.012589,0.005226,0.0,0.0,unigram
ecosystem,0.012589,0.005314,0.0,0.0,unigram
implement,0.012581,0.0,0.0,0.0,unigram
developers,0.012581,0.0,0.0,0.0,unigram
relating ai,0.012581,0.0,0.0,0.0,bigram
improvements,0.012573,0.00932,0.017695,0.0,unigram
trends,0.012569,0.01935,0.013041,0.040951,unigram
agentic artificial,0.012565,0.0,0.0,0.0,bigram
momentum,0.012556,0.011589,0.014086,0.0,unigram
priority,0.012556,0.022735,0.003605,0.0,unigram
forum,0.012516,0.0,0.006842,0.0,unigram
establish,0.012503,0.005658,0.0,0.0,unigram
underwriting,0.012491,0.026369,0.0,0.0,unigram
pathways,0.012487,0.0,0.0,0.0,unigram
sought,0.012487,0.0,0.0,0.0,unigram
coding,0.012487,0.0,0.0,0.0,unigram
loan,0.012472,0.0,0.0,0.0,unigram
iv,0.012472,0.0,0.0,0.0,unigram
discuss,0.012464,0.0,0.007346,0.0,unigram
impact group,0.01246,0.005658,0.0,0.0,bigram
delivered,0.012458,0.023998,0.014338,0.053197,unigram
rolled,0.01244,0.006176,0.0,0.0,unigram
investments,0.012424,0.014192,0.011082,0.021082,unigram
advantage,0.012423,0.015686,0.010007,0.0,unigram
code conduct,0.012421,0.0,0.0,0.0,bigram
fair,0.012419,0.017568,0.0,0.0,unigram
globally,0.0124,0.011861,0.009983,0.0,unigram
platform,0.012398,0.038798,0.030303,0.0,unigram
transition plan,0.012396,0.0,0.0,0.0,bigram
reliance,0.012362,0.005234,0.004662,0.0,unigram
february,0.012349,0.0,0.010888,0.0,unigram
goal,0.012349,0.004429,0.006329,0.0,unigram
important,0.012345,0.011287,0.011861,0.0,unigram
plan,0.012339,0.014557,0.008034,0.058855,unigram
operational risk,0.012336,0.014176,0.010524,0.0,bigram
balances,0.012335,0.0,0.0,0.0,unigram
refreshed,0.012335,0.008932,0.0,0.0,unigram
assessed,0.012316,0.007499,0.011547,0.0,unigram
human rights,0.012311,0.005791,0.0,0.0,bigram
green,0.012299,0.0,0.0,0.0,unigram
relevance,0.012299,0.0,0.0,0.0,unigram
term sustainable,0.012299,0.0,0.0,0.0,bigram
microsoft copilot,0.012277,0.0,0.0,0.0,bigram
auditable,0.012277,0.0,0.0,0.0,unigram
introduce new,0.012244,0.0,0.0,0.0,bigram
accelerates,0.012244,0.0,0.0,0.0,unigram
various,0.012236,0.008443,0.011585,0.0,unigram
remuneration committee,0.012217,0.0,0.007096,0.0,bigram
clients,0.01221,0.019469,0.023977,0.0,unigram
including relation,0.012198,0.0,0.0,0.0,bigram
financial stability,0.012198,0.0,0.0,0.0,bigram
powered ai,0.012198,0.0,0.0,0.0,bigram
integrity,0.012188,0.016119,0.0,0.0,unigram
risks including,0.012182,0.0,0.007372,0.0,bigram
supports,0.012181,0.014303,0.010007,0.0,unigram
sanctions,0.01217,0.0,0.0065,0.0,unigram
track,0.012161,0.009767,0.0,0.0,unigram
indicators,0.01215,0.004787,0.007372,0.0,unigram
align,0.012148,0.004867,0.0,0.0,unigram
reducing,0.012143,0.01682,0.011404,0.0,unigram
expand,0.012116,0.017032,0.0,0.0,unigram
anticipate,0.012103,0.004503,0.006225,0.0,unigram
controlled,0.0121,0.0,0.0,0.0,unigram
ownership,0.012092,0.008321,0.006353,0.0,unigram
international,0.012076,0.004876,0.010143,0.0,unigram
commercial real,0.012071,0.005226,0.0,0.0,bigram
covering,0.01204,0.0,0.007096,0.0,unigram
overview,0.012029,0.0,0.0,0.0,unigram
attended,0.012014,0.0,0.006729,0.0,unigram
tax,0.012003,0.018581,0.018099,0.0,unigram
real time,0.011992,0.022319,0.0,0.0,bigram
risks arise,0.011992,0.004867,0.0,0.0,bigram
com,0.011978,0.007499,0.0,0.0,unigram
support customers,0.011974,0.008932,0.0,0.0,bigram
segments,0.011974,0.010462,0.0,0.0,unigram
alignment,0.011968,0.010005,0.016272,0.0,unigram
leader,0.011964,0.019048,0.0,0.0,unigram
course,0.011962,0.0,0.0,0.0,unigram
introduction,0.011962,0.0,0.0,0.0,unigram
appropriateness,0.011962,0.0,0.0,0.0,unigram
investment ai,0.011959,0.005234,0.006014,0.0,bigram
gaps,0.011959,0.00525,0.004662,0.0,unigram
world,0.011957,0.019646,0.015261,0.0,unigram
economic crime,0.011955,0.0,0.0,0.0,bigram
looking,0.011953,0.0,0.012834,0.0,unigram
economic growth,0.011938,0.0,0.0,0.0,bigram
cyber security,0.011927,0.009611,0.024425,0.0,bigram
critical,0.011925,0.018342,0.019184,0.0,unigram
approximately,0.011922,0.0,0.0,0.0,unigram
concerns,0.011908,0.014545,0.0,0.0,unigram
efficiencies,0.011908,0.005234,0.012305,0.0,unigram
stakeholder,0.011902,0.010454,0.009416,0.0,unigram
following,0.011893,0.017208,0.011478,0.0,unigram
committed,0.011893,0.023691,0.0,0.0,unigram
october,0.011877,0.005314,0.0,0.0,unigram
possible,0.011848,0.0,0.01315,0.0,unigram
pay gap,0.011847,0.0,0.0,0.0,bigram
accounting standards,0.011845,0.0,0.0,0.0,bigram
met,0.011845,0.0,0.0,0.0,unigram
low,0.01184,0.010469,0.010406,0.0,unigram
ensure safe,0.011831,0.0,0.0,0.0,bigram
risks associated,0.011816,0.009071,0.005799,0.026868,bigram
outlook,0.011816,0.013879,0.004662,0.0,unigram
highly,0.011812,0.008932,0.006329,0.0,unigram
whilst,0.011811,0.004292,0.018761,0.0,unigram
monitor,0.011805,0.015222,0.014691,0.031419,unigram
deployed,0.011803,0.017218,0.0,0.0,unigram
balance,0.011785,0.019436,0.0,0.0,unigram
supplier,0.011785,0.009663,0.0,0.0,unigram
functions,0.011778,0.012371,0.010073,0.0,unigram
similar,0.011773,0.010484,0.0,0.0,unigram
likely,0.011771,0.011861,0.010239,0.0,unigram
categories,0.01177,0.005675,0.008533,0.0,unigram
pra,0.011767,0.0,0.006729,0.0,unigram
shares,0.011767,0.005658,0.0,0.0,unigram
forward looking,0.011767,0.0,0.007372,0.0,bigram
ai ready,0.0117,0.014162,0.0,0.0,bigram
ahead,0.011691,0.014112,0.0,0.0,unigram
language models,0.01169,0.0,0.007469,0.0,bigram
consolidated,0.01169,0.008848,0.0,0.0,unigram
revenue,0.011689,0.020361,0.007873,0.03776,unigram
prospects,0.011683,0.0,0.0,0.031176,unigram
potential bias,0.011652,0.00458,0.004067,0.046197,bigram
summarisation,0.011651,0.012961,0.0,0.0,unigram
use new,0.011633,0.0,0.0,0.0,bigram
fall,0.011633,0.0,0.0,0.0,unigram
risk policy,0.011633,0.0,0.0,0.0,bigram
digital transformation,0.011633,0.0,0.0,0.0,bigram
recent,0.01162,0.008281,0.011113,0.0,unigram
responsibilities,0.011617,0.0,0.0,0.0,unigram
index,0.011614,0.005226,0.0,0.0,unigram
tokenisation,0.011614,0.0,0.024381,0.0,unigram
ethnicity,0.011608,0.0,0.00504,0.0,unigram
judgements,0.011605,0.003291,0.01515,0.03871,unigram
market conditions,0.011604,0.0,0.0,0.0,bigram
affected,0.011604,0.0,0.0,0.0,unigram
british,0.011604,0.0,0.0,0.0,unigram
significant transactions,0.011595,0.0,0.0,0.057246,bigram
bias evaluating,0.011595,0.0,0.0,0.057246,bigram
rationale significant,0.011595,0.0,0.0,0.057246,bigram
business rationale,0.011595,0.0,0.0,0.057246,bigram
estimates indicative,0.011595,0.0,0.00504,0.0,bigram
transactions unusual,0.011595,0.0,0.0,0.057246,bigram
assessing judgements,0.011595,0.0,0.00504,0.0,bigram
ai applications,0.011567,0.012053,0.0,0.0,bigram
bring,0.011567,0.0,0.01193,0.0,unigram
directly,0.011565,0.014113,0.004067,0.0,unigram
shifts,0.011555,0.016569,0.0,0.0,unigram
ii,0.011514,0.005234,0.006014,0.0,unigram
liquidity,0.011496,0.0,0.007096,0.0,unigram
requires,0.011496,0.005226,0.0,0.0,unigram
financing,0.011496,0.005314,0.0,0.0,unigram
pages,0.011493,0.0,0.016299,0.0,unigram
macroeconomic,0.011485,0.013212,0.0,0.0,unigram
prior,0.011474,0.016249,0.0,0.0,unigram
nce,0.011473,0.0,0.0,0.0,unigram
doing,0.011473,0.0,0.0,0.0,unigram
extent,0.011473,0.0,0.0,0.0,unigram
grc,0.01145,0.0,0.012645,0.0,unigram
strategic objectives,0.01145,0.0,0.008576,0.0,bigram
completion,0.011442,0.004876,0.004343,0.0,unigram
scaled,0.01144,0.005226,0.0,0.0,unigram
insight,0.011431,0.0,0.0,0.0,unigram
help support,0.011428,0.0,0.0,0.0,bigram
rose,0.011428,0.0,0.0,0.0,unigram
meaningful,0.011428,0.0,0.0,0.0,unigram
sophistication,0.011428,0.0,0.0,0.0,unigram
affecting,0.011428,0.0,0.0,0.0,unigram
induction,0.011428,0.0,0.0,0.0,unigram
agility,0.011425,0.0,0.0,0.087036,unigram
geopolitical tensions,0.011425,0.005658,0.0,0.0,bigram
practical,0.011425,0.008105,0.0,0.0,unigram
regard,0.011404,0.0,0.0,0.0,unigram
potential impacts,0.011404,0.0,0.0,0.0,bigram
european,0.011401,0.0,0.0,0.0,unigram
framework including,0.011401,0.0,0.0,0.0,bigram
simpler,0.011398,0.004867,0.00504,0.0,unigram
technologies ai,0.011397,0.013761,0.0,0.0,bigram
losses,0.011396,0.014684,0.004662,0.0,unigram
stress,0.011394,0.007791,0.010016,0.0,unigram
simplifies,0.011388,0.0,0.0,0.0,unigram
chief information,0.011388,0.0,0.0,0.0,bigram
esg,0.011387,0.011107,0.004067,0.0,unigram
empower,0.011387,0.007791,0.005521,0.0,unigram
enterprise wide,0.011355,0.005658,0.0,0.0,bigram
ai ai,0.011355,0.005675,0.0,0.0,bigram
ai related,0.011342,0.004787,0.0,0.0,bigram
intelligence act,0.011304,0.0,0.0,0.0,bigram
skill,0.011283,0.0,0.0,0.0,unigram
restrictions,0.011283,0.0,0.0,0.0,unigram
detailed,0.011267,0.004787,0.0,0.0,unigram
respond,0.011266,0.007791,0.012407,0.0,unigram
reduced,0.011261,0.004429,0.007268,0.0,unigram
holdings plc,0.011258,0.005889,0.0,0.0,bigram
retention,0.011256,0.0,0.0,0.0,unigram
instability,0.011256,0.0,0.0,0.0,unigram
comprehensive,0.011255,0.015274,0.00519,0.0,unigram
electric,0.011219,0.006845,0.0,0.0,unigram
implications,0.011219,0.007791,0.016594,0.0,unigram
cloud based,0.011191,0.005658,0.006842,0.0,bigram
subsidiary,0.011161,0.0,0.0,0.0,unigram
ways,0.011147,0.015294,0.015085,0.0,unigram
