term,term_type,document_frequency,document_frequency_pct,idf,total_count
profile,unigram,6,30.0,2.0986,10
real time,bigram,6,30.0,2.0986,10
resulting,unigram,6,30.0,2.0986,10
stakeholders,unigram,6,30.0,2.0986,10
taken,unigram,6,30.0,2.0986,10
talent,unigram,6,30.0,2.0986,10
topics,unigram,6,30.0,2.0986,10
trend,unigram,6,30.0,2.0986,10
action,unigram,6,30.0,2.0986,9
advice,unigram,6,30.0,2.0986,9
affect,unigram,6,30.0,2.0986,9
agile,unigram,6,30.0,2.0986,9
aim,unigram,6,30.0,2.0986,9
approval,unigram,6,30.0,2.0986,9
balance,unigram,6,30.0,2.0986,9
companies,unigram,6,30.0,2.0986,9
competitors,unigram,6,30.0,2.0986,9
deployed,unigram,6,30.0,2.0986,9
efforts,unigram,6,30.0,2.0986,9
integrity,unigram,6,30.0,2.0986,9
international,unigram,6,30.0,2.0986,9
lower,unigram,6,30.0,2.0986,9
major,unigram,6,30.0,2.0986,9
offers,unigram,6,30.0,2.0986,9
related risks,bigram,6,30.0,2.0986,9
rising,unigram,6,30.0,2.0986,9
risk committee,bigram,6,30.0,2.0986,9
strategies,unigram,6,30.0,2.0986,9
suite,unigram,6,30.0,2.0986,9
considering,unigram,6,30.0,2.0986,8
coverage,unigram,6,30.0,2.0986,8
cross,unigram,6,30.0,2.0986,8
customer service,bigram,6,30.0,2.0986,8
embedding,unigram,6,30.0,2.0986,8
expanding,unigram,6,30.0,2.0986,8
fx,unigram,6,30.0,2.0986,8
introduce,unigram,6,30.0,2.0986,8
macroeconomic,unigram,6,30.0,2.0986,8
management bias,bigram,6,30.0,2.0986,8
order,unigram,6,30.0,2.0986,8
override,unigram,6,30.0,2.0986,8
pages,unigram,6,30.0,2.0986,8
points,unigram,6,30.0,2.0986,8
prior,unigram,6,30.0,2.0986,8
recent,unigram,6,30.0,2.0986,8
risk assessments,bigram,6,30.0,2.0986,8
seek,unigram,6,30.0,2.0986,8
significantly,unigram,6,30.0,2.0986,8
active,unigram,6,30.0,2.0986,7
adapt,unigram,6,30.0,2.0986,7
ai solutions,bigram,6,30.0,2.0986,7
analysis,unigram,6,30.0,2.0986,7
base,unigram,6,30.0,2.0986,7
behaviours,unigram,6,30.0,2.0986,7
chief executive,bigram,6,30.0,2.0986,7
data driven,bigram,6,30.0,2.0986,7
executive directors,bigram,6,30.0,2.0986,7
focusing,unigram,6,30.0,2.0986,7
function,unigram,6,30.0,2.0986,7
guidance,unigram,6,30.0,2.0986,7
inclusive,unigram,6,30.0,2.0986,7
investor,unigram,6,30.0,2.0986,7
leveraging ai,bigram,6,30.0,2.0986,7
mitigate,unigram,6,30.0,2.0986,7
override controls,bigram,6,30.0,2.0986,7
past,unigram,6,30.0,2.0986,7
session,unigram,6,30.0,2.0986,7
survey,unigram,6,30.0,2.0986,7
tailored,unigram,6,30.0,2.0986,7
technical,unigram,6,30.0,2.0986,7
tensions,unigram,6,30.0,2.0986,7
ai enhance,bigram,6,30.0,2.0986,6
ai financial,bigram,6,30.0,2.0986,6
brings,unigram,6,30.0,2.0986,6
business model,bigram,6,30.0,2.0986,6
completion,unigram,6,30.0,2.0986,6
composition,unigram,6,30.0,2.0986,6
equity,unigram,6,30.0,2.0986,6
especially,unigram,6,30.0,2.0986,6
evolve,unigram,6,30.0,2.0986,6
governance framework,bigram,6,30.0,2.0986,6
highlighted,unigram,6,30.0,2.0986,6
including risk,bigram,6,30.0,2.0986,6
indicative,unigram,6,30.0,2.0986,6
indicative potential,bigram,6,30.0,2.0986,6
knowledge,unigram,6,30.0,2.0986,6
operating model,bigram,6,30.0,2.0986,6
pressures,unigram,6,30.0,2.0986,6
principal risks,bigram,6,30.0,2.0986,6
returns,unigram,6,30.0,2.0986,6
risk assessment,bigram,6,30.0,2.0986,6
risks related,bigram,6,30.0,2.0986,6
streamline,unigram,6,30.0,2.0986,6
taking,unigram,6,30.0,2.0986,6
track,unigram,6,30.0,2.0986,6
trusted,unigram,5,25.0,2.2528,25
funding,unigram,5,25.0,2.2528,23
wealth,unigram,5,25.0,2.2528,19
client,unigram,5,25.0,2.2528,18
appetite,unigram,5,25.0,2.2528,16
group plc,bigram,5,25.0,2.2528,16
responsible ai,bigram,5,25.0,2.2528,16
fund,unigram,5,25.0,2.2528,15
exchange,unigram,5,25.0,2.2528,13
sme,unigram,5,25.0,2.2528,13
trading,unigram,5,25.0,2.2528,13
underwriting,unigram,5,25.0,2.2528,13
applicable,unigram,5,25.0,2.2528,12
assistant,unigram,5,25.0,2.2528,12
impacts,unigram,5,25.0,2.2528,12
risk appetite,bigram,5,25.0,2.2528,12
deploy,unigram,5,25.0,2.2528,11
health,unigram,5,25.0,2.2528,11
rights,unigram,5,25.0,2.2528,11
rules,unigram,5,25.0,2.2528,11
secure,unigram,5,25.0,2.2528,11
standard,unigram,5,25.0,2.2528,11
actively,unigram,5,25.0,2.2528,10
ai agents,bigram,5,25.0,2.2528,10
career,unigram,5,25.0,2.2528,10
cash,unigram,5,25.0,2.2528,10
currencies,unigram,5,25.0,2.2528,10
emerging technologies,bigram,5,25.0,2.2528,10
expand,unigram,5,25.0,2.2528,10
fca,unigram,5,25.0,2.2528,10
foundations,unigram,5,25.0,2.2528,10
funds,unigram,5,25.0,2.2528,10
hours,unigram,5,25.0,2.2528,10
leader,unigram,5,25.0,2.2528,10
lending,unigram,5,25.0,2.2528,10
loans,unigram,5,25.0,2.2528,10
losses,unigram,5,25.0,2.2528,10
march,unigram,5,25.0,2.2528,10
migration,unigram,5,25.0,2.2528,10
modelling,unigram,5,25.0,2.2528,10
outcome,unigram,5,25.0,2.2528,10
proprietary,unigram,5,25.0,2.2528,10
scaling,unigram,5,25.0,2.2528,10
section,unigram,5,25.0,2.2528,10
users,unigram,5,25.0,2.2528,10
accelerating,unigram,5,25.0,2.2528,9
account,unigram,5,25.0,2.2528,9
adverse,unigram,5,25.0,2.2528,9
assessed,unigram,5,25.0,2.2528,9
centre,unigram,5,25.0,2.2528,9
concerns,unigram,5,25.0,2.2528,9
data including,bigram,5,25.0,2.2528,9
data protection,bigram,5,25.0,2.2528,9
easier,unigram,5,25.0,2.2528,9
group business,bigram,5,25.0,2.2528,9
head,unigram,5,25.0,2.2528,9
hub,unigram,5,25.0,2.2528,9
including generative,bigram,5,25.0,2.2528,9
investors,unigram,5,25.0,2.2528,9
largest,unigram,5,25.0,2.2528,9
management framework,bigram,5,25.0,2.2528,9
outlook,unigram,5,25.0,2.2528,9
post,unigram,5,25.0,2.2528,9
roles,unigram,5,25.0,2.2528,9
successfully,unigram,5,25.0,2.2528,9
tech,unigram,5,25.0,2.2528,9
technology including,bigram,5,25.0,2.2528,9
update,unigram,5,25.0,2.2528,9
activity,unigram,5,25.0,2.2528,8
app,unigram,5,25.0,2.2528,8
card,unigram,5,25.0,2.2528,8
china,unigram,5,25.0,2.2528,8
context,unigram,5,25.0,2.2528,8
corporate governance,bigram,5,25.0,2.2528,8
data management,bigram,5,25.0,2.2528,8
effect,unigram,5,25.0,2.2528,8
efficiencies,unigram,5,25.0,2.2528,8
engineering,unigram,5,25.0,2.2528,8
excellence,unigram,5,25.0,2.2528,8
forefront,unigram,5,25.0,2.2528,8
forward,unigram,5,25.0,2.2528,8
highly,unigram,5,25.0,2.2528,8
individual,unigram,5,25.0,2.2528,8
july,unigram,5,25.0,2.2528,8
laws regulations,bigram,5,25.0,2.2528,8
providers,unigram,5,25.0,2.2528,8
quantum computing,bigram,5,25.0,2.2528,8
rapidly evolving,bigram,5,25.0,2.2528,8
risk profile,bigram,5,25.0,2.2528,8
spending,unigram,5,25.0,2.2528,8
transparent,unigram,5,25.0,2.2528,8
uncertainty,unigram,5,25.0,2.2528,8
advisers,unigram,5,25.0,2.2528,7
agm,unigram,5,25.0,2.2528,7
ahead,unigram,5,25.0,2.2528,7
ai applications,bigram,5,25.0,2.2528,7
ai machine,bigram,5,25.0,2.2528,7
anticipate,unigram,5,25.0,2.2528,7
arrangements,unigram,5,25.0,2.2528,7
bringing,unigram,5,25.0,2.2528,7
continuously,unigram,5,25.0,2.2528,7
currently,unigram,5,25.0,2.2528,7
customer facing,bigram,5,25.0,2.2528,7
data digital,bigram,5,25.0,2.2528,7
digitisation,unigram,5,25.0,2.2528,7
diversified,unigram,5,25.0,2.2528,7
engaged,unigram,5,25.0,2.2528,7
equal,unigram,5,25.0,2.2528,7
essential,unigram,5,25.0,2.2528,7
event,unigram,5,25.0,2.2528,7
face,unigram,5,25.0,2.2528,7
february,unigram,5,25.0,2.2528,7
goal,unigram,5,25.0,2.2528,7
ii,unigram,5,25.0,2.2528,7
internal control,bigram,5,25.0,2.2528,7
ion,unigram,5,25.0,2.2528,7
live,unigram,5,25.0,2.2528,7
looking,unigram,5,25.0,2.2528,7
metrics,unigram,5,25.0,2.2528,7
oversee,unigram,5,25.0,2.2528,7
positioned,unigram,5,25.0,2.2528,7
potential impact,bigram,5,25.0,2.2528,7
protect,unigram,5,25.0,2.2528,7
provision,unigram,5,25.0,2.2528,7
recognised,unigram,5,25.0,2.2528,7
recovery,unigram,5,25.0,2.2528,7
reduced,unigram,5,25.0,2.2528,7
reduction,unigram,5,25.0,2.2528,7
regularly,unigram,5,25.0,2.2528,7
resilient,unigram,5,25.0,2.2528,7
safety,unigram,5,25.0,2.2528,7
scenarios,unigram,5,25.0,2.2528,7
setting,unigram,5,25.0,2.2528,7
start,unigram,5,25.0,2.2528,7
strategy including,bigram,5,25.0,2.2528,7
strengthened,unigram,5,25.0,2.2528,7
terms,unigram,5,25.0,2.2528,7
times,unigram,5,25.0,2.2528,7
transform,unigram,5,25.0,2.2528,7
underpinned,unigram,5,25.0,2.2528,7
user,unigram,5,25.0,2.2528,7
web,unigram,5,25.0,2.2528,7
zero,unigram,5,25.0,2.2528,7
ai improve,bigram,5,25.0,2.2528,6
breadth,unigram,5,25.0,2.2528,6
bring,unigram,5,25.0,2.2528,6
com,unigram,5,25.0,2.2528,6
considerations,unigram,5,25.0,2.2528,6
continue invest,bigram,5,25.0,2.2528,6
council,unigram,5,25.0,2.2528,6
creates,unigram,5,25.0,2.2528,6
customer outcomes,bigram,5,25.0,2.2528,6
damage,unigram,5,25.0,2.2528,6
efficient,unigram,5,25.0,2.2528,6
elements,unigram,5,25.0,2.2528,6
enabler,unigram,5,25.0,2.2528,6
establishing,unigram,5,25.0,2.2528,6
executive officer,bigram,5,25.0,2.2528,6
gap,unigram,5,25.0,2.2528,6
gaps,unigram,5,25.0,2.2528,6
horizon,unigram,5,25.0,2.2528,6
improvement,unigram,5,25.0,2.2528,6
informed,unigram,5,25.0,2.2528,6
investment ai,bigram,5,25.0,2.2528,6
involved,unigram,5,25.0,2.2528,6
january,unigram,5,25.0,2.2528,6
launching,unigram,5,25.0,2.2528,6
life,unigram,5,25.0,2.2528,6
meetings,unigram,5,25.0,2.2528,6
membership,unigram,5,25.0,2.2528,6
percentage,unigram,5,25.0,2.2528,6
possible,unigram,5,25.0,2.2528,6
price,unigram,5,25.0,2.2528,6
profitable,unigram,5,25.0,2.2528,6
reach,unigram,5,25.0,2.2528,6
received updates,bigram,5,25.0,2.2528,6
refreshed,unigram,5,25.0,2.2528,6
reliability,unigram,5,25.0,2.2528,6
reliance,unigram,5,25.0,2.2528,6
reputation,unigram,5,25.0,2.2528,6
revenue growth,bigram,5,25.0,2.2528,6
reward,unigram,5,25.0,2.2528,6
rigorous,unigram,5,25.0,2.2528,6
security ai,bigram,5,25.0,2.2528,6
similar,unigram,5,25.0,2.2528,6
solution,unigram,5,25.0,2.2528,6
strengthening,unigram,5,25.0,2.2528,6
supplier,unigram,5,25.0,2.2528,6
support customers,bigram,5,25.0,2.2528,6
technologies ai,bigram,5,25.0,2.2528,6
use artificial,bigram,5,25.0,2.2528,6
validation,unigram,5,25.0,2.2528,6
add,unigram,5,25.0,2.2528,5
advancement,unigram,5,25.0,2.2528,5
ai business,bigram,5,25.0,2.2528,5
al,unigram,5,25.0,2.2528,5
awareness,unigram,5,25.0,2.2528,5
behaviour,unigram,5,25.0,2.2528,5
bias accounting,bigram,5,25.0,2.2528,5
bn,unigram,5,25.0,2.2528,5
case,unigram,5,25.0,2.2528,5
combination,unigram,5,25.0,2.2528,5
conduct risk,bigram,5,25.0,2.2528,5
connections,unigram,5,25.0,2.2528,5
determined,unigram,5,25.0,2.2528,5
different,unigram,5,25.0,2.2528,5
early,unigram,5,25.0,2.2528,5
ed,unigram,5,25.0,2.2528,5
education,unigram,5,25.0,2.2528,5
evaluating,unigram,5,25.0,2.2528,5
extend,unigram,5,25.0,2.2528,5
financial reporting,bigram,5,25.0,2.2528,5
group approach,bigram,5,25.0,2.2528,5
identifying,unigram,5,25.0,2.2528,5
implementing,unigram,5,25.0,2.2528,5
including consideration,bigram,5,25.0,2.2528,5
including cyber,bigram,5,25.0,2.2528,5
inherent,unigram,5,25.0,2.2528,5
instruments,unigram,5,25.0,2.2528,5
judgements making,bigram,5,25.0,2.2528,5
making accounting,bigram,5,25.0,2.2528,5
matter,unigram,5,25.0,2.2528,5
moving,unigram,5,25.0,2.2528,5
ng,unigram,5,25.0,2.2528,5
online,unigram,5,25.0,2.2528,5
operational efficiency,bigram,5,25.0,2.2528,5
opportunities presented,bigram,5,25.0,2.2528,5
overseeing,unigram,5,25.0,2.2528,5
pipeline,unigram,5,25.0,2.2528,5
professional,unigram,5,25.0,2.2528,5
promote,unigram,5,25.0,2.2528,5
rating,unigram,5,25.0,2.2528,5
reflecting,unigram,5,25.0,2.2528,5
regular updates,bigram,5,25.0,2.2528,5
responsibility,unigram,5,25.0,2.2528,5
risk compliance,bigram,5,25.0,2.2528,5
roll,unigram,5,25.0,2.2528,5
rollout,unigram,5,25.0,2.2528,5
schemes,unigram,5,25.0,2.2528,5
stable,unigram,5,25.0,2.2528,5
strength,unigram,5,25.0,2.2528,5
structural,unigram,5,25.0,2.2528,5
technology innovation,bigram,5,25.0,2.2528,5
unusual,unigram,5,25.0,2.2528,5
values,unigram,5,25.0,2.2528,5
wider workforce,bigram,5,25.0,2.2528,5
gen,unigram,4,20.0,2.4351,52
gen ai,bigram,4,20.0,2.4351,48
microsoft,unigram,4,20.0,2.4351,23
eu,unigram,4,20.0,2.4351,21
content,unigram,4,20.0,2.4351,15
supply,unigram,4,20.0,2.4351,15
accessibility,unigram,4,20.0,2.4351,13
data analytics,bigram,4,20.0,2.4351,13
language,unigram,4,20.0,2.4351,13
ordinary,unigram,4,20.0,2.4351,13
ready,unigram,4,20.0,2.4351,13
fair,unigram,4,20.0,2.4351,12
ftse,unigram,4,20.0,2.4351,11
sector,unigram,4,20.0,2.4351,11
agility,unigram,4,20.0,2.4351,10
generative artificial,bigram,4,20.0,2.4351,10
jurisdictions,unigram,4,20.0,2.4351,10
lines,unigram,4,20.0,2.4351,10
agreed,unigram,4,20.0,2.4351,9
architecture,unigram,4,20.0,2.4351,9
award,unigram,4,20.0,2.4351,9
customer journeys,bigram,4,20.0,2.4351,9
cyber attacks,bigram,4,20.0,2.4351,9
digital ai,bigram,4,20.0,2.4351,9
dive,unigram,4,20.0,2.4351,9
errors,unigram,4,20.0,2.4351,9
functionality,unigram,4,20.0,2.4351,9
greater automation,bigram,4,20.0,2.4351,9
power,unigram,4,20.0,2.4351,9
scalable,unigram,4,20.0,2.4351,9
spend,unigram,4,20.0,2.4351,9
additionally,unigram,4,20.0,2.4351,8
allowing,unigram,4,20.0,2.4351,8
arise,unigram,4,20.0,2.4351,8
calls,unigram,4,20.0,2.4351,8
carbon,unigram,4,20.0,2.4351,8
class,unigram,4,20.0,2.4351,8
facilitate,unigram,4,20.0,2.4351,8
financial statements,bigram,4,20.0,2.4351,8
institutional,unigram,4,20.0,2.4351,8
offerings,unigram,4,20.0,2.4351,8
organisations,unigram,4,20.0,2.4351,8
propositions,unigram,4,20.0,2.4351,8
provider,unigram,4,20.0,2.4351,8
simpler,unigram,4,20.0,2.4351,8
sophisticated,unigram,4,20.0,2.4351,8
techniques,unigram,4,20.0,2.4351,8
adversely,unigram,4,20.0,2.4351,7
ai models,bigram,4,20.0,2.4351,7
anticipated,unigram,4,20.0,2.4351,7
benefits ai,bigram,4,20.0,2.4351,7
blockchain,unigram,4,20.0,2.4351,7
categories,unigram,4,20.0,2.4351,7
deferred,unigram,4,20.0,2.4351,7
deploying,unigram,4,20.0,2.4351,7
disclosure,unigram,4,20.0,2.4351,7
entity,unigram,4,20.0,2.4351,7
environments,unigram,4,20.0,2.4351,7
having,unigram,4,20.0,2.4351,7
including artificial,bigram,4,20.0,2.4351,7
india,unigram,4,20.0,2.4351,7
indicators,unigram,4,20.0,2.4351,7
initiative,unigram,4,20.0,2.4351,7
large language,bigram,4,20.0,2.4351,7
obligations,unigram,4,20.0,2.4351,7
outside,unigram,4,20.0,2.4351,7
principal risk,bigram,4,20.0,2.4351,7
self,unigram,4,20.0,2.4351,7
short,unigram,4,20.0,2.4351,7
sourcing,unigram,4,20.0,2.4351,7
technologies including,bigram,4,20.0,2.4351,7
uses,unigram,4,20.0,2.4351,7
views,unigram,4,20.0,2.4351,7
works,unigram,4,20.0,2.4351,7
accuracy,unigram,4,20.0,2.4351,6
analyse,unigram,4,20.0,2.4351,6
announced,unigram,4,20.0,2.4351,6
anti,unigram,4,20.0,2.4351,6
attack,unigram,4,20.0,2.4351,6
automate,unigram,4,20.0,2.4351,6
autonomous,unigram,4,20.0,2.4351,6
availability,unigram,4,20.0,2.4351,6
benefit,unigram,4,20.0,2.4351,6
breaches,unigram,4,20.0,2.4351,6
business operations,bigram,4,20.0,2.4351,6
cloud based,bigram,4,20.0,2.4351,6
coaching,unigram,4,20.0,2.4351,6
combining,unigram,4,20.0,2.4351,6
community,unigram,4,20.0,2.4351,6
comply,unigram,4,20.0,2.4351,6
connected,unigram,4,20.0,2.4351,6
customer engagement,bigram,4,20.0,2.4351,6
customer interactions,bigram,4,20.0,2.4351,6
earnings,unigram,4,20.0,2.4351,6
employment,unigram,4,20.0,2.4351,6
engaging,unigram,4,20.0,2.4351,6
ethical use,bigram,4,20.0,2.4351,6
fraud risks,bigram,4,20.0,2.4351,6
frontier,unigram,4,20.0,2.4351,6
group chief,bigram,4,20.0,2.4351,6
identity,unigram,4,20.0,2.4351,6
impact group,bigram,4,20.0,2.4351,6
interests,unigram,4,20.0,2.4351,6
just,unigram,4,20.0,2.4351,6
literacy,unigram,4,20.0,2.4351,6
manner,unigram,4,20.0,2.4351,6
multiple,unigram,4,20.0,2.4351,6
pension,unigram,4,20.0,2.4351,6
physical,unigram,4,20.0,2.4351,6
placed,unigram,4,20.0,2.4351,6
practical,unigram,4,20.0,2.4351,6
relationship,unigram,4,20.0,2.4351,6
reported,unigram,4,20.0,2.4351,6
risk ai,bigram,4,20.0,2.4351,6
risk risk,bigram,4,20.0,2.4351,6
scenario,unigram,4,20.0,2.4351,6
second,unigram,4,20.0,2.4351,6
segments,unigram,4,20.0,2.4351,6
sentiment,unigram,4,20.0,2.4351,6
sets,unigram,4,20.0,2.4351,6
source,unigram,4,20.0,2.4351,6
transformative,unigram,4,20.0,2.4351,6
types,unigram,4,20.0,2.4351,6
unlock,unigram,4,20.0,2.4351,6
updated,unigram,4,20.0,2.4351,6
women,unigram,4,20.0,2.4351,6
actors,unigram,4,20.0,2.4351,5
advancements,unigram,4,20.0,2.4351,5
adviser,unigram,4,20.0,2.4351,5
ai ai,bigram,4,20.0,2.4351,5
ai board,bigram,4,20.0,2.4351,5
ai related,bigram,4,20.0,2.4351,5
align,unigram,4,20.0,2.4351,5
annually,unigram,4,20.0,2.4351,5
attractive,unigram,4,20.0,2.4351,5
audits,unigram,4,20.0,2.4351,5
challenging,unigram,4,20.0,2.4351,5
climate related,bigram,4,20.0,2.4351,5
come,unigram,4,20.0,2.4351,5
communication,unigram,4,20.0,2.4351,5
concern,unigram,4,20.0,2.4351,5
constantly,unigram,4,20.0,2.4351,5
daily,unigram,4,20.0,2.4351,5
data quality,bigram,4,20.0,2.4351,5
defence,unigram,4,20.0,2.4351,5
development ai,bigram,4,20.0,2.4351,5
disciplined,unigram,4,20.0,2.4351,5
disruptive,unigram,4,20.0,2.4351,5
drivers,unigram,4,20.0,2.4351,5
easy,unigram,4,20.0,2.4351,5
edge,unigram,4,20.0,2.4351,5
efficiency gains,bigram,4,20.0,2.4351,5
enhance customer,bigram,4,20.0,2.4351,5
enterprise wide,bigram,4,20.0,2.4351,5
equipping,unigram,4,20.0,2.4351,5
establish,unigram,4,20.0,2.4351,5
executives,unigram,4,20.0,2.4351,5
extended,unigram,4,20.0,2.4351,5
forum,unigram,4,20.0,2.4351,5
forward looking,bigram,4,20.0,2.4351,5
fostering,unigram,4,20.0,2.4351,5
generated,unigram,4,20.0,2.4351,5
geographies,unigram,4,20.0,2.4351,5
geopolitical tensions,bigram,4,20.0,2.4351,5
gross,unigram,4,20.0,2.4351,5
handling,unigram,4,20.0,2.4351,5
helped,unigram,4,20.0,2.4351,5
innovate,unigram,4,20.0,2.4351,5
internal external,bigram,4,20.0,2.4351,5
joined,unigram,4,20.0,2.4351,5
linked,unigram,4,20.0,2.4351,5
net zero,bigram,4,20.0,2.4351,5
newly,unigram,4,20.0,2.4351,5
operating leverage,bigram,4,20.0,2.4351,5
peers,unigram,4,20.0,2.4351,5
period,unigram,4,20.0,2.4351,5
phase,unigram,4,20.0,2.4351,5
pilot,unigram,4,20.0,2.4351,5
players,unigram,4,20.0,2.4351,5
potential risks,bigram,4,20.0,2.4351,5
powerful,unigram,4,20.0,2.4351,5
pra,unigram,4,20.0,2.4351,5
prevention,unigram,4,20.0,2.4351,5
productivity gains,bigram,4,20.0,2.4351,5
prospects,unigram,4,20.0,2.4351,5
quickly,unigram,4,20.0,2.4351,5
rationale,unigram,4,20.0,2.4351,5
reliable,unigram,4,20.0,2.4351,5
remained,unigram,4,20.0,2.4351,5
risks arise,bigram,4,20.0,2.4351,5
risks including,bigram,4,20.0,2.4351,5
sanctions,unigram,4,20.0,2.4351,5
savings,unigram,4,20.0,2.4351,5
scope,unigram,4,20.0,2.4351,5
segment,unigram,4,20.0,2.4351,5
serve customers,bigram,4,20.0,2.4351,5
shares,unigram,4,20.0,2.4351,5
strategic partnership,bigram,4,20.0,2.4351,5
structured,unigram,4,20.0,2.4351,5
tasks,unigram,4,20.0,2.4351,5
treasury,unigram,4,20.0,2.4351,5
upskilling,unigram,4,20.0,2.4351,5
using automation,bigram,4,20.0,2.4351,5
wellbeing,unigram,4,20.0,2.4351,5
workplace,unigram,4,20.0,2.4351,5
able,unigram,4,20.0,2.4351,4
acceleration,unigram,4,20.0,2.4351,4
accordingly,unigram,4,20.0,2.4351,4
achieving,unigram,4,20.0,2.4351,4
adequate,unigram,4,20.0,2.4351,4
advisory,unigram,4,20.0,2.4351,4
ai creates,bigram,4,20.0,2.4351,4
ai implementation,bigram,4,20.0,2.4351,4
ai oversight,bigram,4,20.0,2.4351,4
applying,unigram,4,20.0,2.4351,4
assessing judgements,bigram,4,20.0,2.4351,4
attended,unigram,4,20.0,2.4351,4
better decisions,bigram,4,20.0,2.4351,4
bias evaluating,bigram,4,20.0,2.4351,4
board composition,bigram,4,20.0,2.4351,4
board members,bigram,4,20.0,2.4351,4
business rationale,bigram,4,20.0,2.4351,4
care,unigram,4,20.0,2.4351,4
centres,unigram,4,20.0,2.4351,4
circumstances,unigram,4,20.0,2.4351,4
close,unigram,4,20.0,2.4351,4
committee board,bigram,4,20.0,2.4351,4
confident,unigram,4,20.0,2.4351,4
confirmed,unigram,4,20.0,2.4351,4
considers,unigram,4,20.0,2.4351,4
continued investment,bigram,4,20.0,2.4351,4
contributions,unigram,4,20.0,2.4351,4
control environment,bigram,4,20.0,2.4351,4
control framework,bigram,4,20.0,2.4351,4
creation,unigram,4,20.0,2.4351,4
cutting,unigram,4,20.0,2.4351,4
cutting edge,bigram,4,20.0,2.4351,4
cyber risk,bigram,4,20.0,2.4351,4
dashboard,unigram,4,20.0,2.4351,4
data strategy,bigram,4,20.0,2.4351,4
deploy ai,bigram,4,20.0,2.4351,4
depth,unigram,4,20.0,2.4351,4
detailed,unigram,4,20.0,2.4351,4
digital platforms,bigram,4,20.0,2.4351,4
disruptions,unigram,4,20.0,2.4351,4
domestic,unigram,4,20.0,2.4351,4
election,unigram,4,20.0,2.4351,4
emergence,unigram,4,20.0,2.4351,4
emerging risk,bigram,4,20.0,2.4351,4
engagements,unigram,4,20.0,2.4351,4
ensure fairness,bigram,4,20.0,2.4351,4
ensures,unigram,4,20.0,2.4351,4
entry,unigram,4,20.0,2.4351,4
establishment,unigram,4,20.0,2.4351,4
estimates indicative,bigram,4,20.0,2.4351,4
estimation,unigram,4,20.0,2.4351,4
ethnicity,unigram,4,20.0,2.4351,4
evaluate,unigram,4,20.0,2.4351,4
evaluating business,bigram,4,20.0,2.4351,4
factors including,bigram,4,20.0,2.4351,4
financial data,bigram,4,20.0,2.4351,4
flexibility,unigram,4,20.0,2.4351,4
focus areas,bigram,4,20.0,2.4351,4
gender,unigram,4,20.0,2.4351,4
generally,unigram,4,20.0,2.4351,4
gives,unigram,4,20.0,2.4351,4
goods,unigram,4,20.0,2.4351,4
group company,bigram,4,20.0,2.4351,4
group financial,bigram,4,20.0,2.4351,4
growth opportunities,bigram,4,20.0,2.4351,4
harness,unigram,4,20.0,2.4351,4
highlights,unigram,4,20.0,2.4351,4
impacting,unigram,4,20.0,2.4351,4
inappropriate journal,bigram,4,20.0,2.4351,4
industry leading,bigram,4,20.0,2.4351,4
influence,unigram,4,20.0,2.4351,4
instant,unigram,4,20.0,2.4351,4
intended,unigram,4,20.0,2.4351,4
internal audit,bigram,4,20.0,2.4351,4
internal controls,bigram,4,20.0,2.4351,4
invest automation,bigram,4,20.0,2.4351,4
lever,unigram,4,20.0,2.4351,4
limit,unigram,4,20.0,2.4351,4
link,unigram,4,20.0,2.4351,4
management override,bigram,4,20.0,2.4351,4
materially,unigram,4,20.0,2.4351,4
measure,unigram,4,20.0,2.4351,4
methodology,unigram,4,20.0,2.4351,4
optimisation,unigram,4,20.0,2.4351,4
participants,unigram,4,20.0,2.4351,4
personalisation,unigram,4,20.0,2.4351,4
posting,unigram,4,20.0,2.4351,4
pr,unigram,4,20.0,2.4351,4
present,unigram,4,20.0,2.4351,4
proactive,unigram,4,20.0,2.4351,4
production,unigram,4,20.0,2.4351,4
profitable growth,bigram,4,20.0,2.4351,4
proportionate,unigram,4,20.0,2.4351,4
rationale significant,bigram,4,20.0,2.4351,4
receive,unigram,4,20.0,2.4351,4
received regular,bigram,4,20.0,2.4351,4
reference,unigram,4,20.0,2.4351,4
relations,unigram,4,20.0,2.4351,4
represent,unigram,4,20.0,2.4351,4
reshaping,unigram,4,20.0,2.4351,4
retain,unigram,4,20.0,2.4351,4
risk control,bigram,4,20.0,2.4351,4
risk framework,bigram,4,20.0,2.4351,4
scrutiny,unigram,4,20.0,2.4351,4
senior leaders,bigram,4,20.0,2.4351,4
shareholder,unigram,4,20.0,2.4351,4
sharing,unigram,4,20.0,2.4351,4
significant transactions,bigram,4,20.0,2.4351,4
society,unigram,4,20.0,2.4351,4
specialist,unigram,4,20.0,2.4351,4
st,unigram,4,20.0,2.4351,4
step,unigram,4,20.0,2.4351,4
streamlined,unigram,4,20.0,2.4351,4
stronger,unigram,4,20.0,2.4351,4
sub,unigram,4,20.0,2.4351,4
substantial,unigram,4,20.0,2.4351,4
summary,unigram,4,20.0,2.4351,4
support group,bigram,4,20.0,2.4351,4
sustained,unigram,4,20.0,2.4351,4
targeted,unigram,4,20.0,2.4351,4
technology infrastructure,bigram,4,20.0,2.4351,4
timely,unigram,4,20.0,2.4351,4
tooling,unigram,4,20.0,2.4351,4
transactions unusual,bigram,4,20.0,2.4351,4
